BioGuideID,Name,ticker,traded,Transaction
Y000067,Rudy C. Yakym Iii,"3.MONTH, MATURE",2025-12-23,Purchase
A000372,Richard W. Allen,91282CLG4,2025-11-14,Purchase
M001218,Richard Dean Dr Mccormick,BLK,2025-11-05,Purchase
M001222,Max Miller,"GLAS FUNDS, LP",2025-10-27,Purchase
M001222,Max Miller,GLA,2025-09-23,Purchase
M001222,Max Miller,"GLAS FUNDS, LP",2025-09-17,Purchase
B001327,Rob Bresnahan,SPY,2025-09-16,Purchase
B001327,Rob Bresnahan,QQQ,2025-09-16,Purchase
B001327,Rob Bresnahan,SPY,2025-09-16,Purchase
B001327,Rob Bresnahan,SPY,2025-09-16,Sale
B001327,Rob Bresnahan,IWM,2025-09-15,Purchase
B001327,Rob Bresnahan,IWM,2025-09-15,Purchase
B001327,Rob Bresnahan,QQQ,2025-09-15,Purchase
M001236,Tim Moore,SMCY,2025-08-29,Purchase
M001236,Tim Moore,TZA,2025-08-28,Purchase
M001236,Tim Moore,TZA,2025-08-25,Purchase
M001236,Tim Moore,SMCY,2025-08-21,Purchase
M001236,Tim Moore,SMCY,2025-08-20,Purchase
Y000067,Rudy C. Yakym Iii,"3.MONTH, MATURE",2025-08-18,Purchase
M001236,Tim Moore,TZA,2025-08-14,Purchase
M001236,Tim Moore,TZA,2025-08-13,Purchase
M001236,Tim Moore,SMCY,2025-08-07,Purchase
G000596,Marjorie Taylor Greene,FIG,2025-08-06,Purchase
M001222,Max Miller,GLA,2025-08-04,Purchase
M001222,Max Miller,GLA,2025-07-15,Purchase
S001214,Greg Steube,37045XEF9,2025-07-10,Purchase
M001222,Max Miller,"GLAS FUNDS, LP",2025-06-30,Purchase
R000612,John W. Rose,SYMBOL: OGVXX,2025-06-23,Sale
M001222,Max Miller,GLA,2025-06-16,Purchase
R000612,John W. Rose,SYMBOL: AIVSX,2025-06-03,Sale
R000612,John W. Rose,SYMBOL: AEPGX,2025-06-03,Sale
R000612,John W. Rose,SYMBOL: OGVXX,2025-06-03,Purchase
R000612,John W. Rose,SYMBOL: AGTHX,2025-06-03,Sale
R000612,John W. Rose,SYMBOL: CWGIX,2025-06-03,Sale
R000612,John W. Rose,SYMBOL,2025-06-03,Sale
M001222,Max Miller,GLA,2025-05-08,Purchase
Y000067,Rudy C. Yakym Iii,"3.MONTH, MATURE",2025-05-05,Purchase
R000610,Guy Mr Reschenthaler,BITCOIN,2025-04-24,Sale
B001325,Sheri Biggs,ICAPITAL,2025-04-22,Purchase
G000596,Marjorie Taylor Greene,BX,2025-04-08,Purchase
G000596,Marjorie Taylor Greene,PI,2025-04-04,Purchase
M001222,Max Miller,"GLAS FUNDS, LP",2025-04-03,Purchase
G000583,Josh Gottheimer,IFNNY,2025-03-14,Sale
M001222,Max Miller,GLAS FUNDS,2025-03-10,Sale
M001222,Max Miller,"GLAS FUNDS, LP",2025-02-05,Purchase
Y000067,Rudy C. Yakym Iii,"3.MONTH, MATURE",2025-01-27,Purchase
M001222,Max Miller,GLA,2025-01-27,Purchase
M001222,Max Miller,GLA,2025-01-17,Purchase
B001325,Sheri Biggs,ICAPITAL,2025-01-06,Purchase
F000450,Virginia Foxx,EFC$D,2024-12-30,Purchase
R000610,Guy Mr Reschenthaler,BITCOIN,2024-12-23,Purchase
F000450,Virginia Foxx,T$A,2024-12-06,Sale
A000372,Richard W. Allen,91282CJP7,2024-12-03,Purchase
A000372,Richard W. Allen,91282CJS1,2024-12-03,Purchase
A000372,Richard W. Allen,912797KJ5,2024-12-03,Purchase
F000472,Scott Scott Franklin,"WMT, SBUX, BRKB AND AAPL",2024-09-25,Purchase
F000472,Scott Scott Franklin,"WMT, SBUX, BRKB AND AAPL",2024-08-07,Purchase
F000472,Scott Scott Franklin,"WMT, SBUX, BRKB AND AAPL",2024-08-07,Purchase
