bioguide_id,nous,quiver,delta
A000055,2,2,0
A000148,1,0,1
A000372,6,5,1
A000378,42,20,22
B000574,119,101,18
B000668,1,0,1
B001248,29,26,3
B001260,24,0,24
B001274,11,3,8
B001292,102,79,23
B001311,2,0,2
C001068,13,11,2
C001069,2,2,0
C001078,3,3,0
C001080,1,1,0
C001101,5,0,5
C001103,6,0,6
C001104,30,0,30
C001114,43,0,43
C001120,15,15,0
D000399,22,22,0
D000617,77,1,76
D000624,5,3,2
D000628,16,0,16
E000296,19,18,1
E000298,14,12,2
F000246,123,6,117
F000450,281,273,8
F000462,155,156,-1
G000061,5,5,0
G000559,4,4,0
G000563,13,12,1
G000577,1,1,0
G000583,384,365,19
G000588,1,1,0
G000590,58,57,1
G000591,9,2,7
G000596,23,23,0
G000597,2,2,0
H001082,119,98,21
J000020,170,139,31
J000295,3,3,0
J000305,1,0,1
K000375,22,10,12
L000273,1,1,0
L000397,22,16,6
L000559,123,115,8
L000566,2,2,0
L000579,123,62,61
L000590,79,72,7
M000087,3,0,3
M001135,456,404,52
M001180,19,17,2
M001186,15,15,0
M001199,16,7,9
M001204,3,1,2
M001205,42,42,0
M001210,1,0,1
M001213,3,3,0
N000192,10,8,2
O000171,2,0,2
P000048,5,4,1
P000096,1,1,0
P000197,28,20,8
P000523,4,2,2
P000593,17,17,0
P000597,1,0,1
P000608,18,0,18
P000616,1,0,1
R000305,11,11,0
R000597,1,0,1
R000603,1,1,0
R000606,1,1,0
R000609,119,118,1
R000612,2,1,1
S000168,4,1,3
S000185,9,9,0
S000250,45,39,6
S000344,11,1,10
S000929,6,5,1
S001172,1,0,1
S001190,7,5,2
S001205,6,6,0
S001207,2,2,0
S001209,1,1,0
S001214,5,5,0
S001216,4,2,2
T000479,10,10,0
T000482,1,1,0
W000797,20,7,13
W000800,1,0,1
W000804,102,65,37
W000809,1,0,1
Y000067,1,1,0
