bioguide_id,name,nous,quiver,delta,a_du_papier,verdict
K000389,Rohit Khanna,4070,2970,1100,True,nous_plus
M001157,Michael T. McCaul,1938,1328,610,True,nous_plus
G000583,Josh Gottheimer,560,559,1,False,nous_plus
J000307,John James,265,266,-1,False,quiver_plus_a_revoir
M001217,Jared Moskowitz,238,237,1,False,nous_plus
D000032,Byron Donalds,200,142,58,True,nous_plus
M001135,Kathy Manning,199,172,27,False,nous_plus
G000596,Marjorie Taylor Mrs Greene,156,132,24,False,nous_plus
L000601,Greg Landsman,113,111,2,False,nous_plus
H001082,Kevin Hern,80,68,12,False,nous_plus
F000472,C. Scott Franklin,79,69,10,False,nous_plus
B000574,Earl Blumenauer,66,29,37,False,nous_plus
F000450,Virginia Foxx,58,58,0,False,concordant
P000608,Scott H. Peters,52,0,52,False,quiver_sans_donnee
K000375,William R. Keating,51,20,31,False,nous_plus
F000459,"Charles J. ""Chuck"" Fleischmann",51,19,32,True,nous_plus
J000309,Jonathan Jackson,41,41,0,False,concordant
M001213,Blake Moore,39,39,0,False,concordant
B001248,Michael C. Burgess,38,36,2,False,nous_plus
D000617,Suzan K. DelBene,37,2,35,False,nous_plus
K000398,Thomas H. Kean,35,35,0,False,concordant
N000189,Dan Newhouse,31,29,2,False,nous_plus
K000376,Mike Kelly,29,10,19,False,nous_plus
T000483,David Trone,28,1,27,False,nous_plus
L000564,Doug Lamborn,27,2,25,True,nous_plus
T000488,Shri Thanedar,25,24,1,False,nous_plus
D000399,Lloyd Doggett,24,24,0,False,concordant
A000372,Richard W. Allen,22,15,7,False,nous_plus
S000250,Pete Sessions,21,15,6,False,nous_plus
M001220,Morgan McGarvey,20,20,0,False,concordant
B001292,Donald Sternoff Beyer,19,0,19,False,quiver_sans_donnee
I000056,Darrell E. Issa,19,0,19,False,quiver_sans_donnee
G000590,Mark Dr Green,19,19,0,False,concordant
C001129,Michael A. Collins,18,0,18,False,quiver_sans_donnee
W000816,Roger Williams,17,16,1,False,nous_plus
M001222,Max Miller,16,11,5,False,nous_plus
D000628,"Neal Patrick Dunn, MD, FACS",13,0,13,False,quiver_sans_donnee
S000168,Maria Elvira Salazar,13,8,5,False,nous_plus
J000295,David P. Joyce,13,12,1,False,nous_plus
Y000067,Rudy Yakym,13,12,1,False,nous_plus
C001117,Sean Casten,12,0,12,False,quiver_sans_donnee
M001205,Carol Devine Miller,11,11,0,False,concordant
L000597,Laurel Lee,10,9,1,False,nous_plus
P000197,Nancy Pelosi,10,8,2,False,nous_plus
L000560,Rick Larsen,10,10,0,False,concordant
S001201,Thomas R. Suozzi,9,9,0,False,concordant
W000797,Debbie Wasserman Schultz,9,9,0,False,concordant
L000562,Stephen F. Lynch,9,2,7,False,nous_plus
R000614,Chip Roy,8,8,0,False,concordant
C001078,Gerald E. Connolly,8,8,0,False,concordant
M001204,Daniel Meuser,7,3,4,False,nous_plus
D000624,Debbie Dingell,7,3,4,False,nous_plus
P000597,Chellie Pingree,7,0,7,False,quiver_sans_donnee
N000147,Eleanor Holmes Norton,7,0,7,False,quiver_sans_donnee
R000395,Harold Dallas Rogers,7,1,6,True,nous_plus
C001101,Katherine M. Clark,6,2,4,False,nous_plus
C001103,Earl Leroy Carter,6,4,2,False,nous_plus
L000566,Robert E. Latta,5,5,0,False,concordant
S000929,Victoria Spartz,5,5,0,False,concordant
B001300,Nanette Barragan,5,0,5,False,quiver_sans_donnee
M000317,Nicole Malliotakis,4,0,4,True,quiver_sans_donnee
G000591,Michael Patrick Guest,4,4,0,False,concordant
C001068,Steve Cohen,4,3,1,False,nous_plus
L000596,Anna Paulina Luna,4,0,4,True,quiver_sans_donnee
G000589,Lance Gooden,3,3,0,False,concordant
G000576,Glenn S. Grothman,3,0,3,False,quiver_sans_donnee
M001199,Brian Mast,3,3,0,False,concordant
P000616,Dean Phillips,3,0,3,False,quiver_sans_donnee
E000296,Dwight Evans,3,3,0,False,concordant
W000828,Brandon McDonald Williams,3,0,3,False,quiver_sans_donnee
W000829,Tony Wied,2,0,2,True,quiver_sans_donnee
S001214,Greg Steube,2,2,0,False,concordant
S001209,Abigail Spanberger,2,1,1,False,nous_plus
C001066,Kathy Castor,2,2,0,False,concordant
S001207,Mikie Sherrill,2,2,0,False,concordant
B000740,Stephanie Bice,2,2,0,False,concordant
H001072,James French Hill,2,2,0,False,concordant
M001163,Doris O. Matsui,2,0,2,False,quiver_sans_donnee
D000615,Jeff Duncan,2,2,0,False,concordant
G000574,Ruben Gallego,2,0,2,False,quiver_sans_donnee
C001080,Judy Chu,2,2,0,False,concordant
G000061,Michael Garcia,2,0,2,False,quiver_sans_donnee
A000148,Jake Auchincloss,2,2,0,False,concordant
P000607,Mark Pocan,2,0,2,False,quiver_sans_donnee
F000462,Lois Frankel,1,0,1,False,quiver_sans_donnee
S001172,Adrian Smith,1,0,1,False,quiver_sans_donnee
M001212,Felix Barry Moore,1,0,1,False,quiver_sans_donnee
M001223,Seth Magaziner,1,0,1,False,quiver_sans_donnee
R000606,Jamie Raskin,1,1,0,False,concordant
M000871,Tracey Robert Mann,1,0,1,False,quiver_sans_donnee
B001299,James E Hon Banks,1,0,1,False,quiver_sans_donnee
G000577,Garret Graves,1,1,0,False,concordant
W000806,Daniel Webster,1,0,1,False,quiver_sans_donnee
B000668,Cliff Bentz,1,0,1,False,quiver_sans_donnee
L000590,Susie Lee,1,1,0,False,concordant
L000585,Darin McKay LaHood,1,1,0,False,concordant
R000305,Deborah Ross,1,1,0,False,concordant
