year,cluster,doc_id,n_txn,n_ticker,has_gt,prec_ticker,prec_ticker_date
2020,B_tape_tourne,8216879,97,76,True,1.0,0.9210526315789473
2020,B_tape_tourne,8216915,12,0,False,,
2020,B_tape_tourne,8216969,9,9,False,,
2020,B_tape_tourne,8216973,213,158,True,0.930379746835443,0.810126582278481
2020,B_tape_tourne,8217232,1,0,False,,
2020,A_tape_droit,8217747,175,139,True,0.9784172661870504,0.9784172661870504
2021,B_tape_tourne,8217856,35,7,True,1.0,1.0
2021,B_tape_tourne,8217869,82,47,True,0.8936170212765957,0.8936170212765957
2021,B_tape_tourne,8217884,20,20,True,0.0,0.0
2021,B_tape_tourne,8217927,16,12,True,0.6666666666666666,0.4166666666666667
2021,A_tape_droit,8217934,2,0,False,,
2021,B_tape_tourne,8218040,1,1,True,1.0,1.0
2021,B_tape_tourne,8218296,104,95,True,0.6631578947368421,0.11578947368421053
2022,B_tape_tourne,8218518,442,352,True,0.9602272727272727,0.10227272727272728
2022,B_tape_tourne,8218535,9,9,True,0.0,0.0
2022,B_tape_tourne,8218540,93,91,True,1.0,1.0
2022,B_tape_tourne,8218545,223,203,True,0.9359605911330049,0.8078817733990148
2022,B_tape_tourne,8218557,19,15,True,0.8,0.4666666666666667
2022,A_tape_droit,8218641,22,22,True,0.9090909090909091,0.45454545454545453
2022,A_tape_droit,8219219,3,3,True,0.3333333333333333,0.0
2022,B_tape_tourne,8219286,5,4,True,1.0,0.0
2023,B_tape_tourne,8219353,119,114,True,1.0,0.9298245614035088
2023,B_tape_tourne,8219356,3,0,False,,
2023,B_tape_tourne,8219359,14,14,True,0.0,0.0
2023,B_tape_tourne,8219384,110,44,True,0.9545454545454546,0.9090909090909091
2023,B_tape_tourne,8219412,109,104,True,0.9615384615384616,0.8942307692307693
2023,B_tape_tourne,8219742,1,0,False,,
2023,A_tape_droit,8219919,5,5,True,0.0,0.0
2024,B_tape_tourne,8220118,1,1,False,,
2024,B_tape_tourne,8220127,124,122,True,1.0,0.9918032786885246
2024,B_tape_tourne,8220147,17,17,True,0.0,0.0
2024,B_tape_tourne,8220162,190,108,True,0.9166666666666666,0.8796296296296297
2024,A_tape_droit,8220317,10,10,True,0.0,0.0
2024,A_tape_droit,8220320,232,108,True,0.9074074074074074,0.7962962962962963
2024,B_tape_tourne,8220682,60,59,True,0.7796610169491526,0.0
2025,B_tape_tourne,8220750,118,113,True,1.0,0.8495575221238938
2025,B_tape_tourne,8220753,20,20,True,0.05,0.0
2025,B_tape_tourne,8220754,84,48,True,1.0,0.7916666666666666
2025,B_tape_tourne,8220757,2,1,True,0.0,0.0
2025,A_tape_droit,8220783,119,111,True,1.0,0.8468468468468469
2025,A_tape_droit,8220834,53,35,True,0.8857142857142857,0.34285714285714286
2025,B_tape_tourne,8221212,63,62,True,0.967741935483871,0.7258064516129032
2026,A_tape_droit,8221322,117,115,True,0.9826086956521739,0.8173913043478261
2026,A_tape_droit,8221326,51,34,True,0.8823529411764706,0.8823529411764706
2026,A_tape_droit,8221358,112,101,True,0.9702970297029703,0.9207920792079208
2026,A_tape_droit,9115726,113,105,True,1.0,0.8666666666666667
2026,A_tape_droit,9115728,98,71,True,0.8028169014084507,0.04225352112676056
2026,A_tape_droit,9115822,98,97,True,1.0,0.9587628865979382
2026,A_tape_droit,9116141,135,100,True,0.93,0.88
2026,A_tape_droit,9116142,115,108,True,0.9907407407407407,0.9259259259259259
