scope,metric,value
digital,common_senators,16.0
digital,quiver_amendment_dups,24.0
digital,ours_tickerizable,307.0
digital,quiver,279.0
digital,matched,279.0
digital,only_quiver,0.0
digital,only_ours,28.0
digital,coverage_pct,100.0
ocr,common_senators,0.0
ocr,quiver_amendment_dups,24.0
ocr,ours_tickerizable,0.0
ocr,quiver,0.0
ocr,matched,0.0
ocr,only_quiver,0.0
ocr,only_ours,0.0
ocr,coverage_pct,
both,common_senators,16.0
both,quiver_amendment_dups,24.0
both,ours_tickerizable,313.0
both,quiver,279.0
both,matched,279.0
both,only_quiver,0.0
both,only_ours,34.0
both,coverage_pct,100.0
